IndicatorID	IndicatorDesc	Unit	Region	Sex	AgeGroup	YearsOfSchooling	Occupation	2000.FN	2000.Source	2000.Value	2001.FN	2001.Source	2001.Value	2002.FN	2002.Source	2002.Value	2003.FN	2003.Source	2003.Value	2004.FN	2004.Source	2004.Value	2005.FN	2005.Source	2005.Value	2006.FN	2006.Source	2006.Value	2007.FN	2007.Source	2007.Value	2008.FN	2008.Source	2008.Value	2009.FN	2009.Source	2009.Value	2010.FN	2010.Source	2010.Value	2011.FN	2011.Source	2011.Value	2012.FN	2012.Source	2012.Value	2013.FN	2013.Source	2013.Value	2014.FN	2014.Source	2014.Value	2015.FN	2015.Source	2015.Value	2016.FN	2016.Source	2016.Value	2017.FN	2017.Source	2017.Value
8.5.2	Unemployment rate, by sex, and age 	percentage	Pal	Both	All	All			National Accounts Statistics	14.3		National Accounts Statistics	25.3		National Accounts Statistics	31.2		National Accounts Statistics	25.5		National Accounts Statistics	26.8		National Accounts Statistics	23.5		National Accounts Statistics	23.7		National Accounts Statistics	21.7		National Accounts Statistics	26.6		National Accounts Statistics	24.5		National Accounts Statistics	23.7		National Accounts Statistics	20.9		National Accounts Statistics	23		National Accounts Statistics	23.4		National Accounts Statistics	26.9		National Accounts Statistics	25.9		National Accounts Statistics	26.9		National Accounts Statistics	27.2
8.5.2	Unemployment rate, by sex, and age 	percentage	Pal	Female	All	All			National Accounts Statistics	12.4		National Accounts Statistics	13.8		National Accounts Statistics	17		National Accounts Statistics	18.2		National Accounts Statistics	20		National Accounts Statistics	22.2		National Accounts Statistics	20.5		National Accounts Statistics	19.1		National Accounts Statistics	24.2		National Accounts Statistics	26.4		National Accounts Statistics	26.8		National Accounts Statistics	28.37398841		National Accounts Statistics	32.9		National Accounts Statistics	35		National Accounts Statistics	38.4		National Accounts Statistics	39.2		National Accounts Statistics	44.7		National Accounts Statistics	40.1
8.5.2	Unemployment rate, by sex, and age 	percentage	Pal	Females	15-24	All			National Accounts Statistics	23.1		National Accounts Statistics	31		National Accounts Statistics	36.6		National Accounts Statistics	38.5		National Accounts Statistics	45		National Accounts Statistics	46.1		National Accounts Statistics	43.1		National Accounts Statistics	42.5		National Accounts Statistics	47.8		National Accounts Statistics	46.9		National Accounts Statistics	49.6		National Accounts Statistics	53.5		National Accounts Statistics	62.2		National Accounts Statistics	64.7		National Accounts Statistics	62.8		National Accounts Statistics	60.8		National Accounts Statistics	65.9			
8.5.2	Unemployment rate, by sex, and age 	percentage	Pal	Females	15+	All			National Accounts Statistics	12.4		National Accounts Statistics	13.8		National Accounts Statistics	17		National Accounts Statistics	18.2		National Accounts Statistics	20		National Accounts Statistics	22.2		National Accounts Statistics	20.5		National Accounts Statistics	19.1		National Accounts Statistics	24.2		National Accounts Statistics	26.4		National Accounts Statistics	26.8		National Accounts Statistics	28.37398841		National Accounts Statistics	32.9		National Accounts Statistics	35		National Accounts Statistics	38.4		National Accounts Statistics	39.2		National Accounts Statistics	44.7			
8.5.2	Unemployment rate, by sex, and age 	percentage	Pal	Females	25+	All			National Accounts Statistics	9.9		National Accounts Statistics	9.8		National Accounts Statistics	12.4		National Accounts Statistics	13.5		National Accounts Statistics	14.2		National Accounts Statistics	16.7		National Accounts Statistics	15.2		National Accounts Statistics	13.7		National Accounts Statistics	17.4		National Accounts Statistics	20.5		National Accounts Statistics	20.7		National Accounts Statistics	21.5		National Accounts Statistics	25.7		National Accounts Statistics	28.4		National Accounts Statistics	32.7		National Accounts Statistics	33.3		National Accounts Statistics	38.6			
8.5.2	Unemployment rate, by sex, and age 	percentage	Pal	Females	All	0			National Accounts Statistics	0.3		National Accounts Statistics	0.7		National Accounts Statistics	2.2		National Accounts Statistics	2.4		National Accounts Statistics	1.9		National Accounts Statistics	1.6		National Accounts Statistics	1.8		National Accounts Statistics	1.2		National Accounts Statistics	2.8		National Accounts Statistics	3.3		National Accounts Statistics	1.5		National Accounts Statistics	2.5		National Accounts Statistics	1.6		National Accounts Statistics	2.8		National Accounts Statistics	3.6		National Accounts Statistics	6.5						
8.5.2	Unemployment rate, by sex, and age 	percentage	Pal	Females	All	1-6			National Accounts Statistics	3.1		National Accounts Statistics	4.9		National Accounts Statistics	7.9		National Accounts Statistics	5.6		National Accounts Statistics	6.2		National Accounts Statistics	7.8		National Accounts Statistics	9		National Accounts Statistics	4.4		National Accounts Statistics	7.4		National Accounts Statistics	5.3		National Accounts Statistics	5.1		National Accounts Statistics	2.9		National Accounts Statistics	3.2		National Accounts Statistics	2.8		National Accounts Statistics	6.5		National Accounts Statistics	9.7						
8.5.2	Unemployment rate, by sex, and age 	percentage	Pal	Females	All	10-12			National Accounts Statistics	7.9		National Accounts Statistics	7.9		National Accounts Statistics	18.5		National Accounts Statistics	14.8		National Accounts Statistics	12.6		National Accounts Statistics	17.2		National Accounts Statistics	13.3		National Accounts Statistics	9.7		National Accounts Statistics	13.2		National Accounts Statistics	15.3		National Accounts Statistics	13.6		National Accounts Statistics	14.5		National Accounts Statistics	16.5		National Accounts Statistics	14.7		National Accounts Statistics	18.6		National Accounts Statistics	25.1						
8.5.2	Unemployment rate, by sex, and age 	percentage	Pal	Females	All	13+			National Accounts Statistics	21.9		National Accounts Statistics	21.5		National Accounts Statistics	22.2		National Accounts Statistics	27.9		National Accounts Statistics	30.7		National Accounts Statistics	32.6		National Accounts Statistics	31.7		National Accounts Statistics	32.8		National Accounts Statistics	35.9		National Accounts Statistics	35.7		National Accounts Statistics	36.3		National Accounts Statistics	38.8		National Accounts Statistics	44.6		National Accounts Statistics	47		National Accounts Statistics	50.6		National Accounts Statistics	48						
8.5.2	Unemployment rate, by sex, and age 	percentage	Pal	Females	All	7-9			National Accounts Statistics	7.8		National Accounts Statistics	8.3		National Accounts Statistics	13.2		National Accounts Statistics	9.7		National Accounts Statistics	11		National Accounts Statistics	11.3		National Accounts Statistics	8.9		National Accounts Statistics	6.4		National Accounts Statistics	7.2		National Accounts Statistics	8.3		National Accounts Statistics	7.8		National Accounts Statistics	8.6		National Accounts Statistics	7.2		National Accounts Statistics	6.4		National Accounts Statistics	11.1		National Accounts Statistics	16.9						
8.5.2	Unemployment rate, by sex, and age 	percentage	Pal	Male	15-24	All			National Accounts Statistics	20.3		National Accounts Statistics	36.4		National Accounts Statistics	43.7		National Accounts Statistics	38.5		National Accounts Statistics	39.2		National Accounts Statistics	35		National Accounts Statistics	34.5		National Accounts Statistics	34.1		National Accounts Statistics	39.5		National Accounts Statistics	37.2		National Accounts Statistics	36.8		National Accounts Statistics	32.1		National Accounts Statistics	34.5		National Accounts Statistics	36.9		National Accounts Statistics	39.9		National Accounts Statistics	36.4		National Accounts Statistics	36.2			
8.5.2	Unemployment rate, by sex, and age 	percentage	Pal	Male	15+	All			National Accounts Statistics	14.6		National Accounts Statistics	27.1		National Accounts Statistics	33.5		National Accounts Statistics	26.8		National Accounts Statistics	28.1		National Accounts Statistics	23.8		National Accounts Statistics	24.4		National Accounts Statistics	22.3		National Accounts Statistics	27.2		National Accounts Statistics	24.1		National Accounts Statistics	23.1		National Accounts Statistics	19.18298623		National Accounts Statistics	20.5		National Accounts Statistics	20.6		National Accounts Statistics	23.9		National Accounts Statistics	22.5		National Accounts Statistics	22.2			
8.5.2	Unemployment rate, by sex, and age 	percentage	Pal	Male	25+	All			National Accounts Statistics	12.7		National Accounts Statistics	24.1		National Accounts Statistics	30.5		National Accounts Statistics	23.3		National Accounts Statistics	24.9		National Accounts Statistics	20.4		National Accounts Statistics	21.3		National Accounts Statistics	18.6		National Accounts Statistics	23.2		National Accounts Statistics	20		National Accounts Statistics	18.8		National Accounts Statistics	14.8		National Accounts Statistics	15.6		National Accounts Statistics	14.8		National Accounts Statistics	18.1		National Accounts Statistics	17.5		National Accounts Statistics	17.4			
8.5.2	Unemployment rate, by sex, and age 	percentage	Pal	Male	All	0			National Accounts Statistics	11.9		National Accounts Statistics	21.2		National Accounts Statistics	28		National Accounts Statistics	21		National Accounts Statistics	26		National Accounts Statistics	15.2		National Accounts Statistics	15.2		National Accounts Statistics	18.8		National Accounts Statistics	23.4		National Accounts Statistics	27.2		National Accounts Statistics	24.3		National Accounts Statistics	20.6		National Accounts Statistics	18.2		National Accounts Statistics	25.3		National Accounts Statistics	28.1		National Accounts Statistics	21						
8.5.2	Unemployment rate, by sex, and age 	percentage	Pal	Male	All	1-6			National Accounts Statistics	17.7		National Accounts Statistics	33.5		National Accounts Statistics	40.9		National Accounts Statistics	31.5		National Accounts Statistics	34.6		National Accounts Statistics	28.7		National Accounts Statistics	30.8		National Accounts Statistics	26.2		National Accounts Statistics	33.6		National Accounts Statistics	30.2		National Accounts Statistics	28.6		National Accounts Statistics	22.2		National Accounts Statistics	23.3		National Accounts Statistics	22.6		National Accounts Statistics	29.2		National Accounts Statistics	27.1						
8.5.2	Unemployment rate, by sex, and age 	percentage	Pal	Male	All	10-12			National Accounts Statistics	15		National Accounts Statistics	28.8		National Accounts Statistics	35		National Accounts Statistics	28.1		National Accounts Statistics	29.6		National Accounts Statistics	24.2		National Accounts Statistics	25.3		National Accounts Statistics	24.1		National Accounts Statistics	28		National Accounts Statistics	25.4		National Accounts Statistics	24		National Accounts Statistics	19.7		National Accounts Statistics	21.1		National Accounts Statistics	21.5		National Accounts Statistics	24.6		National Accounts Statistics	23.2						
8.5.2	Unemployment rate, by sex, and age 	percentage	Pal	Male	All	13+			National Accounts Statistics	9.3		National Accounts Statistics	13.7		National Accounts Statistics	17.4		National Accounts Statistics	16.2		National Accounts Statistics	16.8		National Accounts Statistics	16.6		National Accounts Statistics	16		National Accounts Statistics	14.6		National Accounts Statistics	19		National Accounts Statistics	16.5		National Accounts Statistics	15.7		National Accounts Statistics	14.8		National Accounts Statistics	16.3		National Accounts Statistics	16.4		National Accounts Statistics	19.1		National Accounts Statistics	18.6						
8.5.2	Unemployment rate, by sex, and age 	percentage	Pal	Male	All	7-9			National Accounts Statistics	16.2		National Accounts Statistics	31.2		National Accounts Statistics	39		National Accounts Statistics	30.7		National Accounts Statistics	31.4		National Accounts Statistics	26.3		National Accounts Statistics	27.2		National Accounts Statistics	24.7		National Accounts Statistics	30.1		National Accounts Statistics	26.9		National Accounts Statistics	26.2		National Accounts Statistics	21.5		National Accounts Statistics	23.2		National Accounts Statistics	23		National Accounts Statistics	25.9		National Accounts Statistics	24.1						
8.5.2	Unemployment rate, by sex, and age 	percentage	Pal	Male	All	All			National Accounts Statistics	14.6		National Accounts Statistics	27.1		National Accounts Statistics	33.5		National Accounts Statistics	26.8		National Accounts Statistics	28.1		National Accounts Statistics	23.8		National Accounts Statistics	24.4		National Accounts Statistics	22.3		National Accounts Statistics	27.2		National Accounts Statistics	24.1		National Accounts Statistics	23.1		National Accounts Statistics	19.18298623		National Accounts Statistics	20.5		National Accounts Statistics	20.6		National Accounts Statistics	23.9		National Accounts Statistics	22.5		National Accounts Statistics	22.2		National Accounts Statistics	24.4
8.5.2	Unemployment rate, by sex, and age 	percentage	West Bank	Both	All	All			National Accounts Statistics	12.2		National Accounts Statistics	21.6		National Accounts Statistics	28.1		National Accounts Statistics	23.7		National Accounts Statistics	22.8		National Accounts Statistics	20.4		National Accounts Statistics	18.8		National Accounts Statistics	17.9		National Accounts Statistics	19.7		National Accounts Statistics	17.8		National Accounts Statistics	17.2		National Accounts Statistics	17.25730984		National Accounts Statistics	19		National Accounts Statistics	18.6		National Accounts Statistics	17.7		National Accounts Statistics	17.3		National Accounts Statistics	18.2		National Accounts Statistics	13.2
8.6.1	Proportion of youth (aged 15-24 years) not in education, employment or training	percentage	Gaza	Both	15-24	All	All		Labour Force Survey (LFS)	34.8		Labour Force Survey (LFS)	39.4		Labour Force Survey (LFS)	37.2		Labour Force Survey (LFS)	32.6		Labour Force Survey (LFS)	31.9		Labour Force Survey (LFS)	30.9		Labour Force Survey (LFS)	32.3		Labour Force Survey (LFS)	32.5		Labour Force Survey (LFS)	32.6		Labour Force Survey (LFS)	31.5		Labour Force Survey (LFS)	33.1		Labour Force Survey (LFS)	29.5		Labour Force Survey (LFS)	33.4		Labour Force Survey (LFS)	34.9		Labour Force Survey (LFS)	38.1		Labour Force Survey (LFS)	36		Labour Force Survey (LFS)	36.6		Labour Force Survey (LFS)	48.3
8.6.1	Proportion of youth (aged 15-24 years) not in education, employment or training	percentage	Pal	Both	15-24	All	All		Labour Force Survey (LFS)	33.3		Labour Force Survey (LFS)	36.9		Labour Force Survey (LFS)	36.1		Labour Force Survey (LFS)	32.2		Labour Force Survey (LFS)	30.8		Labour Force Survey (LFS)	29.8		Labour Force Survey (LFS)	29.1		Labour Force Survey (LFS)	29.1		Labour Force Survey (LFS)	28.8		Labour Force Survey (LFS)	28.1		Labour Force Survey (LFS)	29.1		Labour Force Survey (LFS)	27.3		Labour Force Survey (LFS)	29.9		Labour Force Survey (LFS)	31.3		Labour Force Survey (LFS)	32.1		Labour Force Survey (LFS)	31.6		Labour Force Survey (LFS)	32.3		Labour Force Survey (LFS)	40.6
8.6.1	Proportion of youth (aged 15-24 years) not in education, employment or training	percentage	Pal	Females	15-24	All	All		Labour Force Survey (LFS)	47.2		Labour Force Survey (LFS)	46.7		Labour Force Survey (LFS)	43.3		Labour Force Survey (LFS)	39.3		Labour Force Survey (LFS)	37.2		Labour Force Survey (LFS)	37.4		Labour Force Survey (LFS)	35.6		Labour Force Survey (LFS)	34.7		Labour Force Survey (LFS)	33.2		Labour Force Survey (LFS)	32.8		Labour Force Survey (LFS)	34.3		Labour Force Survey (LFS)	33.9		Labour Force Survey (LFS)	37.3		Labour Force Survey (LFS)	38.8		Labour Force Survey (LFS)	38.1		Labour Force Survey (LFS)	37.2		Labour Force Survey (LFS)	38.7		Labour Force Survey (LFS)	52.4
8.6.1	Proportion of youth (aged 15-24 years) not in education, employment or training	percentage	Pal	Males	15-24	All	All		Labour Force Survey (LFS)	19.7		Labour Force Survey (LFS)	27.4		Labour Force Survey (LFS)	29.1		Labour Force Survey (LFS)	25.3		Labour Force Survey (LFS)	24.7		Labour Force Survey (LFS)	22.3		Labour Force Survey (LFS)	22.9		Labour Force Survey (LFS)	23.7		Labour Force Survey (LFS)	24.6		Labour Force Survey (LFS)	23.5		Labour Force Survey (LFS)	24.2		Labour Force Survey (LFS)	21.1		Labour Force Survey (LFS)	22.8		Labour Force Survey (LFS)	24.1		Labour Force Survey (LFS)	26.3		Labour Force Survey (LFS)	26.1		Labour Force Survey (LFS)	26		Labour Force Survey (LFS)	29.3
8.6.1	Proportion of youth (aged 15-24 years) not in education, employment or training	percentage	West Bank	Both	15-24	All	All		Labour Force Survey (LFS)	32.3		Labour Force Survey (LFS)	35.4		Labour Force Survey (LFS)	35.5		Labour Force Survey (LFS)	32		Labour Force Survey (LFS)	30.2		Labour Force Survey (LFS)	29.1		Labour Force Survey (LFS)	27.2		Labour Force Survey (LFS)	27		Labour Force Survey (LFS)	26.5		Labour Force Survey (LFS)	26		Labour Force Survey (LFS)	26.7		Labour Force Survey (LFS)	26		Labour Force Survey (LFS)	27.7		Labour Force Survey (LFS)	29.1		Labour Force Survey (LFS)	28.3		Labour Force Survey (LFS)	28.7		Labour Force Survey (LFS)	29.5		Labour Force Survey (LFS)	35.4
8.7.1	Proportion and number of children aged 5-17 years engaged in child labour, by sex and age	percentage	Gaza	Both	10-17	All	All	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	2.7	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	1.5	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	1	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	1.8	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	1.3	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	1.4	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	1.1	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	1.5	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	1.3	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	1.9	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	0.6	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	1.7	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	1.5	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	1.4	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	1.3	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	2.8	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	1.9	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	1.7
8.7.1	Proportion and number of children aged 5-17 years engaged in child labour, by sex and age	percentage	Pal	Both	10-14	All	All	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	1.7	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	0.5	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	0.5	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	1.2	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	1	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	1.3	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	2.9	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	3.1	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	2.4	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	2.1	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	2.3	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	2.2	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	2.1	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	1.5	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	1.6	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	2	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	1.7	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	1.2
8.7.1	Proportion and number of children aged 5-17 years engaged in child labour, by sex and age	percentage	Pal	Both	10-17	All	All	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	4.3	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	2.2	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	1.6	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	2.7	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	2.3	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	2.9	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	4.4	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	4.6	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	3.8	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	3.7	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	3.7	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	4.2	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	4.1	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	3.5	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	3.7	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	4.5	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	3.9	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	3.4
8.7.1	Proportion and number of children aged 5-17 years engaged in child labour, by sex and age	percentage	Pal	Both	15-17	All	All	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	9.9	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	5.7	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	3.9	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	5.6	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	4.7	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	5.7	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	7.3	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	7.2	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	6.3	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	6.4	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	6.1	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	7.5	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	7.7	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	7	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	7.5	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	9	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	7.8	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	7.2
8.7.1	Proportion and number of children aged 5-17 years engaged in child labour, by sex and age	percentage	Pal	Females	10-17	All	All	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	0.7	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	0.2	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	0.3	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	0.6	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	0.4	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	0.6	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	1.4	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	1.3	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	1	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	0.8	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	1.1	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	0.8	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	0.6	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	0.3	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	0.3	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	0.4	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	0.3	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	0.1
8.7.1	Proportion and number of children aged 5-17 years engaged in child labour, by sex and age	percentage	Pal	Males	10-17	All	All	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	7.9	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	4.2	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	2.9	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	4.7	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	4.1	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	5.2	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	7.4	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	7.8	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	6.6	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	6.4	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	6.3	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	7.5	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	7.5	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	6.5	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	7	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	8.5	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	7.4	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	6.6
8.7.1	Proportion and number of children aged 5-17 years engaged in child labour, by sex and age	percentage	West Bank	Both	10-17	All	All	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	5.3	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	2.6	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	2	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	3.2	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	2.9	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	3.8	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	6.5	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	6.5	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	5.5	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	5.4	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	5.7	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	5.7	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	5.8	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	4.9	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	5.3	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	5.7	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	5.3	* Chlidern aged 10-17 years	Labour Force Survey (LFS)	4.6
8.9.1	Tourism direct GDP as a proportion of total GDP and in growth rate	percentage	Gaza	Both	All	All	All																													Tourism Activity Survey (TAS)	0.637034495								Tourism Activity Survey (TAS)	1.567339301															
8.9.1	Tourism direct GDP as a proportion of total GDP and in growth rate	percentage	Pal	Both	All	All	All		Tourism Activity Survey (TAS)	1.104546087					Tourism Activity Survey (TAS)	0.283140222														Tourism Activity Survey (TAS)	3.695121508					Tourism Activity Survey (TAS)	2.427189676		Tourism Activity Survey (TAS)	2.767326744		Tourism Activity Survey (TAS)	2.060463347		Tourism Activity Survey (TAS)	2.892012873		Tourism Activity Survey (TAS)	2.240469247		Tourism Activity Survey (TAS)	2.860349492		Tourism Activity Survey (TAS)	1.902282806						
8.9.1	Tourism direct GDP as a proportion of total GDP and in growth rate	percentage	West Bank	Both	All	All	All																													Tourism Activity Survey (TAS)	2.99409431								Tourism Activity Survey (TAS)	3.305392459															
8.9.2	Number of jobs in tourism industries as a proportion of total jobs and growth rate of jobs, by sex	Unit	Gaza	Both	All	All	All																													Tourism Activity Survey (TAS)	3015								Tourism Activity Survey (TAS)	6094															
8.9.2	Number of jobs in tourism industries as a proportion of total jobs and growth rate of jobs, by sex	Unit	Pal	Both	All	All	All		Tourism Activity Survey (TAS)	5378					Tourism Activity Survey (TAS)	2601														Tourism Activity Survey (TAS)	6144					Tourism Activity Survey (TAS)	15576								Tourism Activity Survey (TAS)	23010		Tourism Activity Survey (TAS)	21176		Tourism Activity Survey (TAS)	26484		Tourism Activity Survey (TAS)	21707						
8.9.2	Number of jobs in tourism industries as a proportion of total jobs and growth rate of jobs, by sex	Unit	Pal	Females	All	All	All		Tourism Activity Survey (TAS)	479					Tourism Activity Survey (TAS)	179														Tourism Activity Survey (TAS)	478					Tourism Activity Survey (TAS)	880		Tourism Activity Survey (TAS)	1335		Tourism Activity Survey (TAS)	882		Tourism Activity Survey (TAS)	1454															
8.9.2	Number of jobs in tourism industries as a proportion of total jobs and growth rate of jobs, by sex	Unit	Pal	Males	All	All	All		Tourism Activity Survey (TAS)	4899					Tourism Activity Survey (TAS)	2422														Tourism Activity Survey (TAS)	5666					Tourism Activity Survey (TAS)	14696		Tourism Activity Survey (TAS)	13827		Tourism Activity Survey (TAS)	15108		Tourism Activity Survey (TAS)	21556															
8.9.2	Number of jobs in tourism industries as a proportion of total jobs and growth rate of jobs, by sex	Unit	West Bank	Both	All	All	All																													Tourism Activity Survey (TAS)	12561								Tourism Activity Survey (TAS)	16916															
